key,desc,supplier,part_no,url,qty,unit,current_low,current_high,new_low,new_high,checked_date,note
cam-lever-clamp,Cam-lever spring clamp,McMaster-Carr,,,92,ea,3,8,,,,
dibond-acm-film,Dibond ACM panel 4mm,Grimco,,,6,sheet,85,85,,,,
acme-leadscrew,"Acme leadscrew ¾""-6",Roton Products,6289K36,https://www.mcmaster.com/6289K36,4,ea,95,95,,,,
light-sealing-mat,Light-sealing materials (interior conversion),McMaster-Carr,,,1,lot,150,210,,,,
crossslide-hgr15,Cross-slide rail HGR15 (Option A),Automation Overstock,,,8,ea,25,25,,,,
hgr20-rail,Linear guide rail HGR20,Automation Overstock,5901T777,,4,ea,45,45,,,,
rod-end-bearing,Rod-end spherical bearing,McMaster-Carr,60645K73,https://www.mcmaster.com/60645K73,8,ea,22,22,,,,
sp-wall-stays,Top + bottom wall stays + 4-bolt anchor plates,McMaster-Carr,,,2,set,45,80,,,,
walkway-m12-bolts,M12×80mm through-bolt kit,McMaster-Carr,,,58,ea,1.5,2.5,,,,
hgh20ca-carriage,Rail carriage HGH20CA,Automation Overstock,,,8,ea,18,18,,,,
handwheel-8in,"Handwheel 8"" dia",Grainger,6440K64,https://www.mcmaster.com/6440K64,4,ea,35,35,,,,
panel-epdm-gasket,"20mm EPDM gasket (per meter, closed-cell)",McMaster-Carr,,,21,m,4,6,,,,
bulkhead-2in,"Bulkhead fitting 2"" NPT (304 SS)",McMaster-Carr,4464K115,https://www.mcmaster.com/4464K115,3,ea,25,40,,,,
sp-sleeve-bearings,"Flanged sleeve (journal) bearing, Ø90 bore",McMaster-Carr,,,2,ea,30,55,,,,
crossslide-hgh15ca,Cross-slide carriage HGH15CA (Option A),Automation Overstock,,,8,ea,12,12,,,,
epdm-foam-tape,"Black EPDM foam tape 1""×½""",McMaster-Carr,8614K84,https://www.mcmaster.com/8614K84,3,roll,28,28,,,,
ibcf-dring,25mm welded D-ring,McMaster-Carr,3641T29,,8,ea,5,8.75,,,,
saddle-m12-bolt,"M12×90mm hex through-bolt + nut + washers, SS",McMaster-Carr,,,28,ea,2.5,2.5,,,,
pivot-pin,Pivot pin SS316,McMaster-Carr,,,8,ea,8,8,,,,
ibcf-floor-anchor,"M12 floor anchor (wedge/sleeve, container floor)",McMaster-Carr,,,16,ea,1.875,3.75,,,,
ll-wiper-seal,Felt/brush wiper strip + 12mm closed-cell neoprene,McMaster-Carr,,,1,lot,40,60,,,,
ll-fasteners,Stainless fasteners + nylon isolation washers,McMaster-Carr,,,1,lot,30,50,,,,
walkway-throughbolts,M12 through-bolt kit (right walkway),McMaster-Carr,,,24,ea,1.25,2.0833,,,,
acme-nut,"Acme nut bronze ¾""-6",Roton Products,6289K512,https://www.mcmaster.com/6289K512,4,ea,12,12,,,,
locking-collar,Locking collar SS316,McMaster-Carr,6436K12,https://www.mcmaster.com/6436K12,4,ea,12,12,,,,
clamp-m5-bolt,M5×16 SS socket head bolt,McMaster-Carr,91292A128,,184,ea,0.25,0.25,,,,
